PLAYER,POS,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,PPG,Free Throw %,Three Point %,Two Point %,EFG
Michael Ajayi,SF,77.75,227.8,84.75,106.5,9.5,9.75,11.77,3.17,3.21,27,34.5,17.2,70.9,47,46.6,51.1
Melvin Ajinca,SF,79.25,213.8,79.5,106.5,8.5,9.75,11.78,3,3.38,26.5,31,9.3,79.7,30.9,50.7,47.8
Trey Alexander,SG,75.25,187,82.5,101.5,8.75,10,11.37,2.92,3.21,26.5,32,17.6,82.4,33.9,50.4,50.6
Izan Almansa,C,81.25,219.6,85,110,9.25,9.25,10.94,2.96,3.11,28,35,8.2,37.9,22.2,55.2,53.3
Reece Beekman,PG,73.25,196.4,78.5,100,8.5,9,10.86,3.08,2.94,30,36.5,14.3,75.4,31,48.7,48.2
Adem Bona,C,80.25,243.2,87.75,108,9.5,10,11.01,3.01,3.15,35,40,12.4,69.6,,59.1,58.8
Trevon Brazile,PF,81.25,215,87.75,108.5,9,10.25,11.15,3.01,3.09,33,41,8.6,69.5,35.3,58.5,56.2
Jalen Bridges,SF,78.75,213.4,82,105,9,10,11.14,3,3.16,25,32,12.2,82.3,41.2,53.8,58.4
Matas Buzelis,SF,80.75,197,82,105.5,8.5,9.25,10.73,2.9,3.09,31,38,11.8,76.9,22.2,60.3,51.8
Carlton Carrington,PG,75.75,194.8,80,99,8.5,9.25,11.28,2.99,3.16,28.5,36.5,13.8,78.5,32.2,51.1,49.6
Devin Carter,SG,74.25,193,80.75,98,8.75,9,10.63,2.9,2.87,35,42,19.7,74.9,37.7,56.3,56.4
Stephon Castle,SG,77.5,210,81,102,8.75,8.75,10.93,2.91,3.19,28.5,37,11.1,75.5,26.7,54.4,50.7
Cam Christie,SG,76.5,190.4,80,101.5,8,8,11.07,2.95,3.07,32.5,35.5,11.3,79.1,39.1,42,51.6
Nique Clifford,SF,77,198.6,80,102,8,9,10.95,3.1,3.08,30,37,12.2,75.9,37.6,59.7,58.6
Donovan Clingan,C,85.75,282,90.75,115,10,10.25,12.06,3.38,3.46,25.5,29,13,58.3,25,65,64.3
Isaiah Collier,PG,74.5,204.6,76.75,97.5,8.5,9,10.77,2.9,3.04,30,34,16.3,67.3,33.8,54.3,53.3
Tristan Da Silva,PF,80.25,216.8,82.25,104.5,9,9.5,10.81,2.82,3.09,28.5,35.5,16,83.5,39.5,55.9,57.3
Pacome Dadiet,SF,79.75,216.8,81,107.5,8.5,9,11.84,2.94,3.21,29,36,6.4,72,31.1,58.3,52.7
N'Faly Dante,C,82,260.2,90,111,9.25,10,11.55,3.04,3.23,27,33,17,61.3,,69.5,69.5
Nikola Djurisic,SF,79,208.8,80,102.5,8.5,10,10.63,2.92,3.12,27.5,34.5,14.4,73.9,33,51.9,51.1
Ryan Dunn,PF,78.25,213.6,85.5,103,9,9.75,10.99,2.88,3.12,32,38.5,8.1,53.2,20,61.8,56.5
Zach Edey,C,87.75,299,94.75,115,10,10.75,11.19,3.01,3.42,26,31.5,25.2,71.1,,62.4,62.4
Justin Edwards,SF,78,209.4,82,102.5,8.75,8.75,12.07,3.22,3.18,28,32.5,8.8,77.6,36.5,56.4,55.7
Jesse Edwards,C,83.5,236,89,111,9.25,10,11.24,3.23,3.33,30.5,35.5,15,52.3,,61.3,61.3
Boogie Ellis,PG,72.75,185,79,98,9,9.5,11.98,3.33,3.19,31.5,39.5,16.5,72,41.8,43.9,54.2
Kyle Filipowski,PF,82.75,229.8,82.5,107,8.75,9.5,11.43,2.93,3.19,27,32.5,16.4,67.1,34.8,50.5,54.9
Trentyn Flowers,SF,78.5,201.4,80.25,100.5,8.75,9.5,11.01,3,3.13,34.5,42,5.2,61.3,42.1,47.2,51.4
Enrique Freeman,PF,79.25,212,86,108,8.75,10,10.99,3.04,3.26,30.5,35,18.6,72.8,37,61.7,60.9
Johnny Furphy,SF,79.5,188.8,80,104.5,8,9.5,11.15,3.17,3.2,25.5,32,9,76.5,35.2,64.2,57.3
Kyshawn George,SF,79,208.8,82.25,105,9,10.25,11.9,2.91,3.32,27,32,7.6,77.8,40.8,46.7,56.6
PJ Hall,C,80.25,239.6,85.5,103.5,9,9.75,11.76,3.01,3.35,32.5,39.5,18.3,77.9,31.5,57.5,54.1
Coleman Hawkins,PF,80.25,215.2,84,107,8.75,8.75,12.05,3.21,3.3,24,29.5,12.1,79.2,36.9,53.5,54.4
Ron Holland II,SF,78.5,196.8,82.75,104,8.75,9,11.1,2.91,3.1,30,38,18.5,68.2,23.9,53.2,49.8
DaRon Holmes II,C,80.75,236.2,85,108,8.75,9,11.2,3.03,3.25,27.5,34,20.4,71.3,38.6,58.5,58.4
Oso Ighodaro,C,81.5,222,83,104.5,9,10,11.25,3.12,3.09,35,39.5,13.4,62.3,,58,57.6
Harrison Ingram,SF,77.25,233.6,84.25,102.5,9,10.25,11.36,2.94,3.17,29,35,12.2,61.2,38.5,46.7,51.6
Bronny James,SG,73.5,210.4,79.25,98.5,8.5,9.5,10.96,3.02,3.09,32,40.5,4.8,67.6,26.7,48.1,43.8
